source,section,title,url,category,status,words,modified
Freshdesk,Category,Troubleshooting,https://mjolnirucph-help.freshdesk.com/support/solutions/154000132967,Troubleshooting,keep,,
Freshdesk,Folder,Perl,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000332436,Troubleshooting,keep,,
Freshdesk,Folder,Support,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000360431,Troubleshooting,keep,,
Freshdesk,Category,Users,https://mjolnirucph-help.freshdesk.com/support/solutions/154000144139,User Accounts,keep,,
Freshdesk,Folder,Users,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000360372,User Accounts,keep,,
Freshdesk,Category,Mjolnir Archives: Presentations & Emails,https://mjolnirucph-help.freshdesk.com/support/solutions/154000147995,Historical Content,archive,,
Freshdesk,Folder,Presentations,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000369980,Historical Content,archive,,
Freshdesk,Folder,Emails,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000369981,Historical Content,archive,,
Freshdesk,Article,About Mjølnir,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000132307-about-mj%C3%B8lnir,Getting Started,keep,257,"Fri, 1 Mar, 2024 at 3:39 PM"
Freshdesk,Article,Connect personal GitHub account to Mjolnir,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000150845-connect-personal-github-account-to-mjolnir,Login & VPN,keep,242,"Thu, 16 May, 2024 at 10:58 AM"
Freshdesk,Article,New software request,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000127260-new-software-request,Software,keep,87,"Sun, 31 Mar, 2024 at 9:37 PM"
Freshdesk,Article,Software installation digest email,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000139753-software-installation-digest-email,Software,keep,89,"Sun, 31 Mar, 2024 at 10:43 PM"
Freshdesk,Article,BioRender account for CEH members,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000146613-biorender-account-for-ceh-members,Software,keep,166,"Sun, 14 Apr, 2024 at 1:13 AM"
Freshdesk,Article,Using the Normal QoS for General Compute Jobs,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000218954-using-the-normal-qos-for-general-compute-jobs,Slurm,keep,262,"Sat, 18 Apr at 8:11 PM"
Freshdesk,Article,Using the filetransfer QoS for Data Transfers,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000218387-using-the-filetransfer-qos-for-data-transfers,Storage,keep,401,"Mon, 3 Mar, 2025 at 3:41 PM"
Freshdesk,Article,Using the Teaching QoS for Educational Sessions,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000218956-using-the-teaching-qos-for-educational-sessions,Slurm,keep,273,"Mon, 3 Mar, 2025 at 4:05 PM"
Freshdesk,Article,Available databases,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000132311-available-databases,Databases,keep,150,"Wed, 8 May, 2024 at 9:07 PM"
Freshdesk,Article,Request a new database,https://mjolnirucph-help.freshdesk.com/support/solutions/articles/154000150174-request-a-new-database,Databases,keep,101,"Wed, 8 May, 2024 at 9:23 PM"
